Country,Sex,Year,Mean height,Mean height lower 95% uncertainty interval,Mean height upper 95% uncertainty interval,Mean height standard error
Argentina,Boys,1985,172.1272772,166.8453193,177.7227497,2.755750783
Argentina,Boys,2019,174.7549826,172.8910764,176.6943478,0.966775542
Bolivia,Boys,1985,164.300956,156.984222,171.9282068,3.8201044
Bolivia,Boys,2019,168.1020022,164.4583486,172.3824405,2.021562277
Brazil,Boys,1985,171.1398738,168.8782378,173.438918,1.158941783
Brazil,Boys,2019,175.7294701,174.8825003,176.5865089,0.432314962
Chile,Boys,1985,169.2633429,165.803958,172.6853757,1.761592469
Chile,Boys,2019,172.8758725,171.0307434,174.8322024,0.966073647
Colombia,Boys,1985,167.3967596,162.7537732,171.7850926,2.300521509
Colombia,Boys,2019,171.8528689,170.2572511,173.4350222,0.822282586
Costa Rica,Boys,1985,168.2830749,161.8351858,174.6893818,3.259792848
Costa Rica,Boys,2019,174.0413739,171.3426242,176.913559,1.448253065
Dominican Republic,Boys,1985,169.4605816,165.0739961,173.7659689,2.181919693
Dominican Republic,Boys,2019,174.6498499,172.3968423,176.9501723,1.163605161
Ecuador,Boys,1985,164.2062529,158.6112937,170.0179307,2.91540881
Ecuador,Boys,2019,167.3196536,165.6505725,169.0585973,0.866221257
El Salvador,Boys,1985,167.5160645,160.8299147,173.827617,3.29886263
El Salvador,Boys,2019,170.6696869,167.6817737,173.7251085,1.542005157
Guatemala,Boys,1985,162.1656591,157.0177673,167.237394,2.59549775
Guatemala,Boys,2019,164.3575117,161.8503723,166.9045997,1.302914405
Honduras,Boys,1985,165.7439874,158.8965339,172.5225632,3.471999529
Honduras,Boys,2019,169.5905441,164.6945445,174.4481585,2.485309371
Mexico,Boys,1985,166.0640209,163.5462599,168.5564713,1.276541402
Mexico,Boys,2019,170.2864395,168.9509527,171.6084896,0.680744829
Nicaragua,Boys,1985,166.4008418,159.3197568,173.430934,3.547593009
Nicaragua,Boys,2019,169.9128092,165.0170313,174.8529287,2.536463976
Panama,Boys,1985,167.5162998,162.4289625,172.6973357,2.568885705
Panama,Boys,2019,170.1901695,168.0278897,172.4620723,1.129466437
Paraguay,Boys,1985,170.130749,163.3201384,176.9353217,3.464927656
Paraguay,Boys,2019,173.8061773,170.6928334,176.8835424,1.587649564
Peru,Boys,1985,164.3233799,159.4341501,169.1328459,2.486550516
Peru,Boys,2019,166.7506016,165.7725941,167.7671627,0.511430635
United States of America,Boys,1985,175.7306254,174.833688,176.6162823,0.457000573
United States of America,Boys,2019,176.9373331,176.0774094,177.8051334,0.439601514
Uruguay,Boys,1985,170.1946377,164.3153415,175.7549644,2.93880042
Uruguay,Boys,2019,174.3233096,172.2169023,176.5449536,1.107271587
Venezuela,Boys,1985,169.3446626,163.6158276,175.1593036,2.908415755
Venezuela,Boys,2019,173.5337221,170.781342,176.2772491,1.427211968
Argentina,Girls,1985,158.0577459,155.0692157,161.2445629,1.601557402
Argentina,Girls,2019,161.2204189,160.0420715,162.4709006,0.62078794
Bolivia,Girls,1985,151.0805055,149.1298782,153.0894874,1.016178829
Bolivia,Girls,2019,155.5752266,153.7796032,157.4838926,0.938996409
Brazil,Girls,1985,157.9792849,156.5164671,159.4524482,0.765985114
Brazil,Girls,2019,162.4109716,161.7300774,163.0825854,0.349076297
Chile,Girls,1985,156.0853155,153.565796,158.5778086,1.291478898
Chile,Girls,2019,159.4177472,158.2257827,160.7550859,0.649868871
Colombia,Girls,1985,154.4275648,152.371885,156.4302597,1.034987097
Colombia,Girls,2019,157.9637321,156.7530611,159.1440066,0.61417609
Costa Rica,Girls,1985,155.9897566,152.2193464,159.5237571,1.86321857
Costa Rica,Girls,2019,160.357674,158.4501117,162.4653182,1.014344008
Dominican Republic,Girls,1985,156.747002,155.1584708,158.2572073,0.782575708
Dominican Republic,Girls,2019,161.2094022,159.6515071,162.8650708,0.823818116
Ecuador,Girls,1985,150.8818764,147.8374085,153.9630787,1.574069529
Ecuador,Girls,2019,155.2489338,153.8882465,156.6060213,0.689386886
El Salvador,Girls,1985,152.4464239,149.2301452,155.5947295,1.625089626
El Salvador,Girls,2019,156.3895702,154.5844186,158.2195843,0.940236286
Guatemala,Girls,1985,148.3683401,146.3532421,150.398907,1.028013446
Guatemala,Girls,2019,150.9139679,149.4257631,152.4059636,0.760797832
Honduras,Girls,1985,152.0144252,149.7951233,154.2576771,1.129693114
Honduras,Girls,2019,155.1831397,153.5030237,156.9347636,0.86906832
Mexico,Girls,1985,153.7715029,152.2667223,155.2096041,0.749384063
Mexico,Girls,2019,157.9019214,156.8642435,158.9477856,0.528305808
Nicaragua,Girls,1985,153.3390636,150.8925364,155.7598345,1.233772709
Nicaragua,Girls,2019,155.621106,154.051626,157.2302562,0.815399929
Panama,Girls,1985,154.8732433,151.6941868,158.0255244,1.626822227
Panama,Girls,2019,158.1864561,156.3638421,160.0190573,0.929396084
Paraguay,Girls,1985,156.2930788,152.1807262,160.3264455,2.072867457
Paraguay,Girls,2019,159.762217,157.6500299,162.0705635,1.119440561
Peru,Girls,1985,150.7206517,149.1418068,152.2601951,0.804377939
Peru,Girls,2019,154.3871646,153.6502748,155.0984385,0.365097668
United States of America,Girls,1985,162.9542244,162.1451092,163.7599939,0.412479601
United States of America,Girls,2019,163.3118826,162.5069857,164.1066655,0.410997385
Uruguay,Girls,1985,158.9734888,155.3746447,162.6429516,1.831879129
Uruguay,Girls,2019,161.5584634,160.0789709,163.212538,0.796739156
Venezuela,Girls,1985,155.9097396,152.3822683,159.3469989,1.754090587
Venezuela,Girls,2019,160.0370075,157.9674967,162.1531842,1.081316214
